Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name
BR3 3BZ,Yes,51.378711,-0.027304,537388,166253,TQ373662,"Shirley South","Croydon, unparished area",1980-01-01,,68,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001135,"Croydon 025D"
CR0 0AA,Yes,51.34034,-0.005061,539052,162028,TQ390620,"New Addington South","Croydon, unparished area",1980-01-01,,156,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AB,Yes,51.337592,-0.002108,539266,161728,TQ392617,"New Addington South","Croydon, unparished area",1980-01-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AD,Yes,51.335321,-0.001331,539327,161477,TQ393614,"New Addington South","Croydon, unparished area",1980-01-01,,163,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AE,Yes,51.340719,-0.004528,539088,162071,TQ390620,"New Addington South","Croydon, unparished area",1980-01-01,,157,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AF,Yes,51.338315,-0.001272,539322,161810,TQ393618,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AG,Yes,51.336594,-0.0005,539381,161620,TQ393616,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AH,Yes,51.33455,-0.002455,539251,161389,TQ392613,"New Addington South","Croydon, unparished area",1980-01-01,,165,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AJ,Yes,51.334616,-5.5E-05,539418,161401,TQ394614,"New Addington South","Croydon, unparished area",1980-01-01,,165,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AL,Yes,51.334029,-0.005163,539064,161326,TQ390613,"New Addington South","Croydon, unparished area",1980-01-01,,164,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AN,Yes,51.334303,-0.009142,538786,161349,TQ387613,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AP,Yes,51.33473,-0.011521,538619,161392,TQ386613,"New Addington South","Croydon, unparished area",1980-01-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AQ,Yes,51.3349,-0.007781,538879,161418,TQ388614,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AR,Yes,51.33431,-0.006371,538979,161355,TQ389613,"New Addington South","Croydon, unparished area",1980-01-01,,163,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AS,Yes,51.340025,-0.00239,539239,161998,TQ392619,"New Addington South","Croydon, unparished area",1980-01-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AT,Yes,51.341203,-0.001879,539271,162130,TQ392621,"New Addington South","Croydon, unparished area",1983-07-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AU,Yes,51.33478,-0.005963,539006,161408,TQ390614,"New Addington South","Croydon, unparished area",1980-01-01,,162,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AW,Yes,51.334605,-0.008913,538801,161383,TQ388613,"New Addington South","Croydon, unparished area",1980-01-01,,161,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0AX,Yes,51.340033,-0.002806,539210,161998,TQ392619,"New Addington South","Croydon, unparished area",1980-01-01,,158,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AY,Yes,51.340849,-0.002239,539247,162090,TQ392620,"New Addington South","Croydon, unparished area",1980-01-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0AZ,Yes,51.339797,-0.001682,539289,161974,TQ392619,"New Addington South","Croydon, unparished area",1980-01-01,,159,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001079,"Croydon 036B"
CR0 0BA,Yes,51.338801,-0.01024,538696,161847,TQ386618,"New Addington South","Croydon, unparished area",1980-01-01,,154,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0BB,Yes,51.338352,-0.009239,538767,161799,TQ387617,"New Addington South","Croydon, unparished area",1980-01-01,,155,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001076,"Croydon 036A"
CR0 0BD,Yes,51.337137,-0.015034,538367,161653,TQ383616,"New Addington South","Croydon, unparished area",1986-07-01,,156,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001080,"Croydon 036C"
CR0 0BE,Yes,51.337244,-0.007536,538889,161679,TQ388616,"New Addington South","Croydon, unparished area",1980-01-01,,158,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001076,"Croydon 036A"
CR0 0BF,Yes,51.336016,-0.005148,539059,161547,TQ390615,"New Addington South","Croydon, unparished area",1980-01-01,,162,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0BG,Yes,51.33559,-0.002324,539257,161505,TQ392615,"New Addington South","Croydon, unparished area",1980-01-01,,162,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
CR0 0BH,Yes,51.335872,-0.003044,539206,161535,TQ392615,"New Addington South","Croydon, unparished area",1980-01-01,,162,England,2021-02-21,"Within the building of the matched address closest to the postcode mean",E01001081,"Croydon 036D"
