Ward Code,Ward Name,Borough,Population,Working age population,Child population,16-59 population,Old age population,IMD Extent %,IMD Extent Rank,IMD Average rank,IMD average rank rank,IMD average score,IMD average score rank,Rank of worst LSOA,Worst LSOA Code,Worst LSOA: % of resident in ward,Number of LSOAs,# LSOAs in worst 5%,# LSOAs in worst 10%,# LSOAs in worst 20%,# LSOAs in worst 50%,Income scale,Income score,Income rank,Employment scale,Employment score,Employment rank,IDACI scale,IDACI score,IDACI score rank,IDAOPI scale,IDAOPI score,IDAOPI score (rank)
E05011462,Addiscombe East,Croydon,11718,7300,2223,7285,2210,7%,332,18301.4,416,16.9,412,7019,E01000992,57%,6.95,0.00,0.00,0.00,2.00,1172.4,0.100,434,556.0,0.076,363,281.56,0.127,431,285.90,0.129,481
E05011463,Addiscombe West,Croydon,13967,9047,2836,9063,2067,6%,339,13410.3,285,22.0,295,5615,E01001045,18%,8.07,0.00,0.00,0.18,6.32,1874.8,0.134,310,761.5,0.084,299,492.46,0.174,318,468.54,0.227,289
E05011464,Bensham Manor,Croydon,16620,10084,3917,10212,2491,12%,271,11025.6,212,25.2,228,5065,E01001001,100%,11.00,0.00,0.00,1.00,11.00,2614.0,0.157,227,1002.5,0.099,215,725.58,0.185,280,519.89,0.209,331
E05011465,Broad Green,Croydon,19384,12047,5100,12266,2019,37%,110,8405.3,111,30.8,97,2836,E01001013,91%,9.75,0.00,0.91,2.91,9.75,3552.0,0.183,134,1310.6,0.109,160,1074.59,0.211,217,613.47,0.304,158
E05011466,Coulsdon Town,Croydon,12719,7316,2544,7242,2933,0%,438,23553.2,539,11.3,537,11187,E01001015,21%,8.29,0.00,0.00,0.00,1.21,883.4,0.069,541,413.5,0.057,491,244.29,0.096,514,209.91,0.072,609
E05011467,Crystal Palace & Upper Norwood,Croydon,16729,10771,3439,10840,2449,2%,408,13816.3,297,21.1,311,8850,E01001162,100%,9.01,0.00,0.00,0.00,7.00,2195.1,0.131,322,944.6,0.088,275,626.34,0.182,290,405.09,0.165,411
E05011468,Fairfield,Croydon,10945,7676,2443,7576,925,44%,77,7192.3,64,32.2,70,5333,E01001042,100%,4.43,0.00,0.09,1.92,4.43,1868.1,0.171,177,827.9,0.108,166,551.13,0.226,176,251.60,0.272,206
E05011469,Kenley,Croydon,10678,6129,2162,6149,2367,0%,438,21957.9,506,12.4,514,16728,E01001068,100%,6.18,0.00,0.00,0.00,0.08,745.9,0.070,538,335.8,0.055,507,215.75,0.100,500,183.82,0.078,597
E05011470,New Addington North,Croydon,11093,5967,3432,6141,1520,78%,10,4863.8,13,38.2,15,3683,E01001052,100%,6.65,0.00,0.00,6.00,6.65,2935.0,0.265,12,987.4,0.165,9,1117.36,0.326,10,486.57,0.320,132
E05011471,New Addington South,Croydon,11677,6623,2886,6715,2076,59%,34,6635.1,44,34.9,38,2247,E01001080,100%,7.35,0.00,1.00,5.00,7.35,2531.0,0.217,52,977.2,0.148,19,839.04,0.291,46,477.93,0.230,288
