,decile,Latitude,Longitude,Easting,Northing,Altitude,New Addington Library,Broad Green Library,Shirley Library,Sanderstead Library,Selsdon Library,Bradmore Green Library,Coulsdon Library,Thornton Heath Library,Purley Library,Central Library,Ashburton Library,Upper Norwood Library,South Norwood Library,Norbury Library,nearest,nearest_closing,change,imd,max_change
0,1,51.32902147766576,-0.1081503631123917,531904.030979827,160579.58429394814,121.92651296829972,6544.659013281735,6544.659013281735,6544.659013281735,3139.779346443277,3139.779346443277,4301.990997180918,4301.990997180918,6460.205794110552,2553.844305982478,6460.205794110552,6460.205794110552,10352.892919603406,8490.254194746974,10074.610392340819,1612.2354993743595,1612.2354993743595,0.0,6.856695965417844,0.0
1,2,51.343517210116396,-0.09507441089494088,532772.1377431906,162215.4459143969,90.91750972762645,5064.86351670689,5064.86351670689,5064.86351670689,4121.801647626324,4121.801647626324,5880.459945720815,5880.459945720815,5613.108291983978,3836.165280516246,5613.108291983978,5613.108291983978,8892.310564359143,6904.816159838088,9077.386898891687,1514.2318752234746,1514.2318752234746,0.0,9.654702723735399,0.0
2,3,51.35836936303848,-0.09709359868421041,532589.8068181818,163862.92105263157,78.32356459330144,4645.306168501104,4645.306168501104,4645.306168501104,4149.707234544887,4149.707234544887,7164.157971654578,7164.157971654578,4449.639985197638,3765.599025936111,4449.639985197638,4449.639985197638,7168.776094067655,5761.408726436508,7142.247396930362,1473.7999155561863,1474.002777602773,0.2028620465872353,14.470863038277583,142.22819623451483
3,4,51.3739386650454,-0.09311046261398126,532822.3069908815,165601.1282674772,65.24741641337386,2597.195110510193,2597.195110510193,2597.195110510193,4601.71152327285,4601.71152327285,8500.206909353272,8500.206909353272,1547.3450739729929,4462.235580665978,1547.3450739729929,1547.3450739729929,5123.704199849518,3457.3074594854515,5296.913124048602,1093.691995457474,1097.1430352182265,3.4510397607524554,17.610648024316497,627.2726265241619
4,5,51.37347377070061,-0.10142286464968156,532244.8885350318,165534.6576433121,72.6687898089172,4639.85620857519,4639.85620857519,4639.85620857519,5395.4018579551785,5395.4018579551785,8308.297260511436,8308.297260511436,3809.019204875466,4749.690025292597,3809.019204875466,3809.019204875466,5543.834825349331,4708.3173856489075,5560.0739321104575,1436.0563796086003,1515.0860450958744,79.02966548727373,19.040369426751464,1485.3198133501114
5,6,51.38685046095516,-0.09503195223654344,532651.0485216073,167033.60121304018,78.51023502653526,4281.2350238553945,4281.2350238553945,4281.2350238553945,6284.764379533987,6284.764379533987,9776.118166409608,9776.118166409608,3366.777396901933,5923.505280803703,3366.777396901933,3366.777396901933,3846.79176363102,3702.914988961292,4634.3686095957255,1092.1507579651684,1140.1900761052227,48.03931814005528,21.142520090977598,1867.1326133659065
6,7,51.381086137743225,-0.10571302256809342,531924.207003891,166373.4140077821,61.0443579766537,4459.686230047944,4459.686230047944,4459.686230047944,6343.736420470231,6343.736420470231,8852.501398563814,8852.501398563814,3058.3548214734733,5870.619255150796,3058.3548214734733,3058.3548214734733,4726.29384893276,4011.900407935415,4623.561344844913,1359.573654693899,1525.0258154013775,165.4521607074778,24.860982879377417,2287.847143163006
7,8,51.38365435949176,-0.09629156651718963,532572.9334828102,166675.9005979073,55.28699551569507,3071.8865071905116,3071.8865071905116,3071.8865071905116,5640.597473432679,5640.597473432679,9340.330706779818,9340.330706779818,1662.9919313140317,5409.5992565287215,1662.9919313140317,1662.9919313140317,4233.751693605912,2977.448783265947,4379.083530723889,1178.869068605537,1357.4954532956099,178.62638469006868,30.605512705530533,2443.8157025785467
8,9,51.377997794232456,-0.07515166874512774,534060.9111457522,166085.66173031955,78.55416991426344,3426.7480533331513,3426.7480533331513,3426.7480533331513,5800.864526821098,5800.864526821098,9993.394188808792,9993.394188808792,3117.7934628169887,6106.689719986158,3117.7934628169887,3117.7934628169887,4956.8164885348715,3373.37946263396,5740.552054424702,1731.7872366886734,2198.414012651435,466.62677596275256,36.1382798129393,2125.778524108
9,10,51.38041268262508,-0.10087996911196939,532263.1776061776,166307.31505791505,52.30501930501931,3592.7022570789486,3592.7022570789486,3592.7022570789486,5614.641701927615,5614.641701927615,8989.014153841501,8989.014153841501,1824.063749823744,5261.259550808975,1824.063749823744,1824.063749823744,4750.292170014742,3623.7241514235766,4567.34626700257,1387.8419201227148,1454.3968057894083,66.55488566669325,42.762965250964484,2335.5659816836687
