FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01005602,2019,Score,,51.4,a. Index of Multiple Deprivation (IMD)
E01005478,2019,Score,,27.566,a. Index of Multiple Deprivation (IMD)
E01005386,2019,Score,,64.436,a. Index of Multiple Deprivation (IMD)
E01005588,2019,Score,,35.244,a. Index of Multiple Deprivation (IMD)
E01005319,2019,Score,,45.47,a. Index of Multiple Deprivation (IMD)
E01005881,2019,Score,,2.817,a. Index of Multiple Deprivation (IMD)
E01005484,2019,Score,,66.441,a. Index of Multiple Deprivation (IMD)
E01005291,2019,Score,,61.348,a. Index of Multiple Deprivation (IMD)
E01005452,2019,Score,,12.39,a. Index of Multiple Deprivation (IMD)
E01008380,2019,Score,,72.353,a. Index of Multiple Deprivation (IMD)
E01008296,2019,Score,,35.849,a. Index of Multiple Deprivation (IMD)
E01005390,2019,Score,,15.46,a. Index of Multiple Deprivation (IMD)
E01008268,2019,Score,,15.907,a. Index of Multiple Deprivation (IMD)
E01005377,2019,Score,,64.915,a. Index of Multiple Deprivation (IMD)
E01008392,2019,Score,,57.428,a. Index of Multiple Deprivation (IMD)
E01008248,2019,Score,,8.365,a. Index of Multiple Deprivation (IMD)
E01006131,2019,Score,,9.034,a. Index of Multiple Deprivation (IMD)
E01006140,2019,Score,,7.37,a. Index of Multiple Deprivation (IMD)
E01006419,2019,Score,,17.962,a. Index of Multiple Deprivation (IMD)
E01006088,2019,Score,,8.057,a. Index of Multiple Deprivation (IMD)
E01005759,2019,Score,,22.088,a. Index of Multiple Deprivation (IMD)
E01005786,2019,Score,,6.881,a. Index of Multiple Deprivation (IMD)
E01006144,2019,Score,,49.871,a. Index of Multiple Deprivation (IMD)
E01005714,2019,Score,,41.286,a. Index of Multiple Deprivation (IMD)
E01005894,2019,Score,,22.372,a. Index of Multiple Deprivation (IMD)
E01006001,2019,Score,,24.727,a. Index of Multiple Deprivation (IMD)
E01005880,2019,Score,,10.1,a. Index of Multiple Deprivation (IMD)
E01006454,2019,Score,,26.169,a. Index of Multiple Deprivation (IMD)
E01006641,2019,Score,,23.01,a. Index of Multiple Deprivation (IMD)
E01006491,2019,Score,,19.232,a. Index of Multiple Deprivation (IMD)
E01006438,2019,Score,,18.178,a. Index of Multiple Deprivation (IMD)
E01001292,2019,Score,,13.864,a. Index of Multiple Deprivation (IMD)
E01007058,2019,Score,,31.17,a. Index of Multiple Deprivation (IMD)
E01007209,2019,Score,,54.03,a. Index of Multiple Deprivation (IMD)
E01001419,2019,Score,,15.206,a. Index of Multiple Deprivation (IMD)
E01012755,2019,Score,,29.397,a. Index of Multiple Deprivation (IMD)
E01005533,2019,Score,,25.951,a. Index of Multiple Deprivation (IMD)
E01001354,2019,Score,,22.226,a. Index of Multiple Deprivation (IMD)
E01005503,2019,Score,,11.105,a. Index of Multiple Deprivation (IMD)
E01001438,2019,Score,,34.949,a. Index of Multiple Deprivation (IMD)
E01001056,2019,Score,,37.89,a. Index of Multiple Deprivation (IMD)
E01001068,2019,Score,,17.303,a. Index of Multiple Deprivation (IMD)
E01000934,2019,Score,,35.446,a. Index of Multiple Deprivation (IMD)
E01007055,2019,Score,,46.616,a. Index of Multiple Deprivation (IMD)
E01006980,2019,Score,,62.534,a. Index of Multiple Deprivation (IMD)
E01007231,2019,Score,,26.101,a. Index of Multiple Deprivation (IMD)
E01005225,2019,Score,,52.35,a. Index of Multiple Deprivation (IMD)
E01012694,2019,Score,,39.258,a. Index of Multiple Deprivation (IMD)
E01012735,2019,Score,,74.73,a. Index of Multiple Deprivation (IMD)
E01005268,2019,Score,,21.139,a. Index of Multiple Deprivation (IMD)
E01012658,2019,Score,,37.417,a. Index of Multiple Deprivation (IMD)
E01008272,2019,Score,,7.701,a. Index of Multiple Deprivation (IMD)
E01012766,2019,Score,,14.754,a. Index of Multiple Deprivation (IMD)
E01012741,2019,Score,,31.785,a. Index of Multiple Deprivation (IMD)
E01005616,2019,Score,,39.635,a. Index of Multiple Deprivation (IMD)
E01005673,2019,Score,,25.007,a. Index of Multiple Deprivation (IMD)
E01012772,2019,Score,,21.568,a. Index of Multiple Deprivation (IMD)
E01012752,2019,Score,,55.867,a. Index of Multiple Deprivation (IMD)
E01005496,2019,Score,,53.997,a. Index of Multiple Deprivation (IMD)
E01005232,2019,Score,,44.073,a. Index of Multiple Deprivation (IMD)
E01005493,2019,Score,,11.247,a. Index of Multiple Deprivation (IMD)
E01000307,2019,Score,,23.325,a. Index of Multiple Deprivation (IMD)
E01000374,2019,Score,,42.38,a. Index of Multiple Deprivation (IMD)
E01000220,2019,Score,,17.109,a. Index of Multiple Deprivation (IMD)
E01000260,2019,Score,,19.85,a. Index of Multiple Deprivation (IMD)
E01007461,2019,Score,,49.689,a. Index of Multiple Deprivation (IMD)
E01007477,2019,Score,,14.082,a. Index of Multiple Deprivation (IMD)
E01000492,2019,Score,,13.405,a. Index of Multiple Deprivation (IMD)
E01007393,2019,Score,,24.538,a. Index of Multiple Deprivation (IMD)
E01006732,2019,Score,,65.932,a. Index of Multiple Deprivation (IMD)
E01006999,2019,Score,,18.946,a. Index of Multiple Deprivation (IMD)
E01007148,2019,Score,,11.202,a. Index of Multiple Deprivation (IMD)
E01006924,2019,Score,,42.802,a. Index of Multiple Deprivation (IMD)
E01000180,2019,Score,,14.555,a. Index of Multiple Deprivation (IMD)
E01000210,2019,Score,,8.197,a. Index of Multiple Deprivation (IMD)
E01000156,2019,Score,,8.319,a. Index of Multiple Deprivation (IMD)
E01008104,2019,Score,,15.419,a. Index of Multiple Deprivation (IMD)
E01009077,2019,Score,,25.269,a. Index of Multiple Deprivation (IMD)
E01008718,2019,Score,,28.707,a. Index of Multiple Deprivation (IMD)
E01008092,2019,Score,,60.08,a. Index of Multiple Deprivation (IMD)
E01009039,2019,Score,,13.915,a. Index of Multiple Deprivation (IMD)
E01008040,2019,Score,,14.218,a. Index of Multiple Deprivation (IMD)
E01008883,2019,Score,,38.636,a. Index of Multiple Deprivation (IMD)
E01008767,2019,Score,,23.272,a. Index of Multiple Deprivation (IMD)
E01007526,2019,Score,,14.763,a. Index of Multiple Deprivation (IMD)
E01007595,2019,Score,,33.752,a. Index of Multiple Deprivation (IMD)
E01007501,2019,Score,,18.343,a. Index of Multiple Deprivation (IMD)
E01007522,2019,Score,,44.518,a. Index of Multiple Deprivation (IMD)
E01008832,2019,Score,,24.07,a. Index of Multiple Deprivation (IMD)
E01008772,2019,Score,,9.937,a. Index of Multiple Deprivation (IMD)
E01007618,2019,Score,,8.915,a. Index of Multiple Deprivation (IMD)
E01006624,2019,Score,,40.199,a. Index of Multiple Deprivation (IMD)
E01006226,2019,Score,,16.932,a. Index of Multiple Deprivation (IMD)
E01005187,2019,Score,,49.127,a. Index of Multiple Deprivation (IMD)
E01005098,2019,Score,,56.791,a. Index of Multiple Deprivation (IMD)
E01006194,2019,Score,,9.323,a. Index of Multiple Deprivation (IMD)
E01006397,2019,Score,,38.116,a. Index of Multiple Deprivation (IMD)
E01006666,2019,Score,,13.283,a. Index of Multiple Deprivation (IMD)
E01006620,2019,Score,,25.6,a. Index of Multiple Deprivation (IMD)
E01005172,2019,Score,,16.295,a. Index of Multiple Deprivation (IMD)
E01006405,2019,Score,,41.675,a. Index of Multiple Deprivation (IMD)
E01005813,2019,Score,,7.209,a. Index of Multiple Deprivation (IMD)
E01006381,2019,Score,,4.232,a. Index of Multiple Deprivation (IMD)
E01005166,2019,Score,,52.348,a. Index of Multiple Deprivation (IMD)
E01005245,2019,Score,,56.313,a. Index of Multiple Deprivation (IMD)
E01006380,2019,Score,,33.536,a. Index of Multiple Deprivation (IMD)
